               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.033523,             0.14073,           0.0088095,             0.63375,             0.51198,             0.53693,             0.34196,            0.037333,             0.27687,            0.018362,           0.0019386,           0.0019386,           0.0019386
                  59,            0.033144,             0.13822,           0.0084549,             0.63521,              0.5131,             0.53803,             0.34277,            0.037322,             0.27738,            0.018394,           0.0017971,           0.0017971,           0.0017971
                  60,            0.033312,             0.14037,           0.0084757,             0.63611,             0.51264,             0.53836,             0.34179,            0.037382,             0.27756,            0.018419,           0.0016557,           0.0016557,           0.0016557
                  61,            0.033071,             0.13634,           0.0082075,             0.62699,             0.52111,             0.53819,             0.34272,            0.037329,             0.27858,            0.018594,           0.0015143,           0.0015143,           0.0015143
                  62,            0.032721,             0.13858,           0.0083423,             0.62529,             0.51372,             0.53621,             0.34118,            0.037397,              0.2803,            0.018684,           0.0013729,           0.0013729,           0.0013729
                  63,            0.032668,             0.13595,           0.0080656,             0.63105,             0.51183,             0.53358,             0.33998,            0.037431,             0.28263,            0.018762,           0.0012314,           0.0012314,           0.0012314
                  64,             0.03294,              0.1356,           0.0083152,             0.62406,             0.51729,             0.53526,             0.34037,            0.037447,             0.28215,            0.018917,             0.00109,             0.00109,             0.00109
                  65,            0.032937,             0.13863,           0.0078994,             0.62481,             0.51713,             0.53405,             0.34002,            0.037449,             0.28246,            0.018992,          0.00094857,          0.00094857,          0.00094857
                  66,            0.032641,             0.13795,           0.0080774,             0.62465,             0.51626,             0.53605,             0.34125,            0.037448,             0.28215,            0.018984,          0.00080714,          0.00080714,          0.00080714
                  67,            0.032796,             0.13729,           0.0078444,             0.62378,             0.51611,             0.53522,             0.34109,            0.037469,             0.28289,            0.019044,          0.00066571,          0.00066571,          0.00066571
                  68,            0.032379,             0.13489,           0.0076924,              0.6287,             0.51298,             0.53347,             0.33962,            0.037515,             0.28357,            0.019254,          0.00052429,          0.00052429,          0.00052429
                  69,            0.032507,             0.13453,           0.0077445,             0.62016,             0.51735,             0.53241,             0.33959,            0.037516,             0.28472,            0.019332,          0.00038286,          0.00038286,          0.00038286
